,endTime,artistName,trackName,msPlayed,track_id,artist_name_track,artist_pop,album,track_pop,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
31,18/03/2023 19:46,Gabry Ponte,Thunder,160000,2USlegnFJLrVLpoVfPimKB,Gabry Ponte,74,Thunder,80,eurodance,italo dance,slap house,,,,,,,0.67,0.896,-4.673,0.058,0.0342,3.21E-05,0.344,0.403,101.216,160000,3
32,18/03/2023 19:44,Dance Fruits Music,Cups,136567,6PdFFQZ2BNMCpZ48oLPHW5,Dance Fruits Music,76,Cups,55,lo-fi product,,,,,,,,,0.7,0.739,-6.814,0.0399,0.0372,0.000299,0.124,0.475,123.002,136568,4
33,18/03/2023 19:42,MELON,Blue (Da Ba Dee),51898,5WyD2lZhEeTNg91oEF0TYK,MELON,73,Blue (Da Ba Dee),64,lo-fi cover,slap house,,,,,,,,0.772,0.871,-4.267,0.0389,0.0938,0.248,0.097,0.323,124.975,132480,4
34,18/03/2023 18:44,Dance Fruits Music,"Calabria (feat. Fallen Roses, Lujavo & Lunis) - Shift K3Y Edit",156190,6MKuYvesr8p8csU9jt5Roa,Dance Fruits Music,76,Dance Fruits Music,64,lo-fi product,,,,,,,,,0.727,0.904,-3.408,0.064,0.0153,0.55,0.0963,0.372,124.02,128500,4
35,18/03/2023 18:41,Gabry Ponte,Thunder,84670,2USlegnFJLrVLpoVfPimKB,Gabry Ponte,74,Thunder,80,eurodance,italo dance,slap house,,,,,,,0.67,0.896,-4.673,0.058,0.0342,3.21E-05,0.344,0.403,101.216,160000,3
36,18/03/2023 18:40,Dance Fruits Music,Drunken Sailor (Sea Shanty),128638,7nkkmnKIm0ENXaAAw0Bq6J,Dance Fruits Music,76,Drunken Sailor (Sea Shanty),57,lo-fi product,,,,,,,,,0.723,0.8,-4.863,0.033,0.0222,0,0.139,0.831,121.92,147541,4
37,18/03/2023 18:26,Gabry Ponte,Thunder,160000,2USlegnFJLrVLpoVfPimKB,Gabry Ponte,74,Thunder,80,eurodance,italo dance,slap house,,,,,,,0.67,0.896,-4.673,0.058,0.0342,3.21E-05,0.344,0.403,101.216,160000,3
38,18/03/2023 18:23,Dance Fruits Music,Cups,83400,6PdFFQZ2BNMCpZ48oLPHW5,Dance Fruits Music,76,Cups,55,lo-fi product,,,,,,,,,0.7,0.739,-6.814,0.0399,0.0372,0.000299,0.124,0.475,123.002,136568,4
39,18/03/2023 18:22,Gabry Ponte,Thunder,1880,2USlegnFJLrVLpoVfPimKB,Gabry Ponte,74,Thunder,80,eurodance,italo dance,slap house,,,,,,,0.67,0.896,-4.673,0.058,0.0342,3.21E-05,0.344,0.403,101.216,160000,3
40,18/03/2023 18:21,P!nk,True Love (feat. Lily Allen),48853,1QNqrsNQ1JVLEwncov3lEY,P!nk,83,The Truth About Love,71,dance pop,pop,,,,,,,,0.457,0.823,-4.76,0.311,0.00144,0,0.108,0.578,192.205,230733,4
