,endTime,artistName,trackName,msPlayed,track_id,artist_name_track,artist_pop,album,track_pop,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
35,2023-03-18 18:41,Gabry Ponte,Thunder,84670,2USlegnFJLrVLpoVfPimKB,Gabry Ponte,73,Thunder,81,eurodance,italo dance,slap house,,,,,,,0.67,0.896,-4.673,0.058,0.0342,3.21e-05,0.344,0.403,101.216,160000,3
36,2023-03-18 18:40,Dance Fruits Music,Drunken Sailor (Sea Shanty),128638,7nkkmnKIm0ENXaAAw0Bq6J,Dance Fruits Music,73,Drunken Sailor (Sea Shanty),55,lo-fi product,,,,,,,,,0.723,0.8,-4.863,0.033,0.0222,0,0.139,0.831,121.92,147541,4
37,2023-03-18 18:26,Gabry Ponte,Thunder,160000,2USlegnFJLrVLpoVfPimKB,Gabry Ponte,73,Thunder,81,eurodance,italo dance,slap house,,,,,,,0.67,0.896,-4.673,0.058,0.0342,3.21e-05,0.344,0.403,101.216,160000,3
38,2023-03-18 18:23,Dance Fruits Music,Cups,83400,6PdFFQZ2BNMCpZ48oLPHW5,Dance Fruits Music,73,Cups,53,lo-fi product,,,,,,,,,0.7,0.739,-6.814,0.0399,0.0372,0.000299,0.124,0.475,123.002,136568,4
39,2023-03-18 18:22,Gabry Ponte,Thunder,1880,2USlegnFJLrVLpoVfPimKB,Gabry Ponte,73,Thunder,81,eurodance,italo dance,slap house,,,,,,,0.67,0.896,-4.673,0.058,0.0342,3.21e-05,0.344,0.403,101.216,160000,3
40,2023-03-18 18:21,P!nk,True Love (feat. Lily Allen),48853,1QNqrsNQ1JVLEwncov3lEY,P!nk,82,The Truth About Love,71,dance pop,pop,,,,,,,,0.457,0.823,-4.76,0.311,0.00144,0,0.108,0.578,192.205,230733,4
41,2023-03-17 22:16,P!nk,U + Ur Hand,214386,1iOJQhxKSJ7dg3Dk03yPnl,P!nk,82,I'm Not Dead,69,dance pop,pop,,,,,,,,0.709,0.891,-3.688,0.0528,0.00144,0,0.034,0.886,141.04,214387,4
42,2023-03-17 22:12,P!nk,Who Knew,208493,2hns6Dv29Yrg68AVTJiAyA,P!nk,82,I'm Not Dead,76,dance pop,pop,,,,,,,,0.688,0.734,-4.569,0.0274,0.00462,0,0.0756,0.46,140.004,208493,4
43,2023-03-17 22:09,P!nk,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",215413,7K5dzhGda2vRTaAWYI3hrb,P!nk,82,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",71,dance pop,pop,,,,,,,,0.632,0.702,-5.92,0.148,0.0114,0,0.108,0.523,162.958,215414,4
44,2023-03-17 22:05,Dance Fruits Music,Cola,36947,0OXn0cXGNw2N3dHSeQeHzA,Dance Fruits Music,73,Cola,54,lo-fi product,,,,,,,,,0.713,0.729,-7.725,0.0517,0.149,0.012,0.084,0.423,122.072,120984,4
45,2023-03-17 16:14,Dance Fruits Music,Rise Up,111072,0tV8pOpiNsKqUys0ilUcXz,Andra Day,56,Cheers to the Fall,74,r&b,,,,,,,,,0.398,0.316,-7.031,0.0368,0.805,0,0.295,0.174,118.582,253342,4
46,2023-03-17 16:12,Dance Fruits Music,Cha Cha Slide,127059,1vvBUZseJ7fwYPX1NedOLd,Freddie Dredd,75,Cha Cha,70,aesthetic rap,meme rap,phonk,,,,,,,0.792,0.698,-6.364,0.172,0.489,0.0788,0.127,0.751,129.971,173938,4
47,2023-03-17 16:10,Dance Fruits Music,Cups,136568,6PdFFQZ2BNMCpZ48oLPHW5,Dance Fruits Music,73,Cups,53,lo-fi product,,,,,,,,,0.7,0.739,-6.814,0.0399,0.0372,0.000299,0.124,0.475,123.002,136568,4
48,2023-03-17 16:08,Shouse,Love Tonight (David Guetta Remix Edit),7327,6OufwUcCqo81guU2jAlDVP,Shouse,69,Love Tonight,76,aussietronica,,,,,,,,,0.727,0.681,-7.114,0.0265,0.00214,0.000307,0.0861,0.448,123.028,241970,4
49,2023-03-17 15:58,Dance Fruits Music,Drunken Sailor (Sea Shanty),147540,7nkkmnKIm0ENXaAAw0Bq6J,Dance Fruits Music,73,Drunken Sailor (Sea Shanty),55,lo-fi product,,,,,,,,,0.723,0.8,-4.863,0.033,0.0222,0,0.139,0.831,121.92,147541,4
50,2023-03-17 15:55,Gabry Ponte,Thunder,160000,2USlegnFJLrVLpoVfPimKB,Gabry Ponte,73,Thunder,81,eurodance,italo dance,slap house,,,,,,,0.67,0.896,-4.673,0.058,0.0342,3.21e-05,0.344,0.403,101.216,160000,3
51,2023-03-17 15:53,Eros Ramazzotti,Una Emocion para Siempre,21219,32TxjkRcmXd3BNqBPIFMPN,Eros Ramazzotti,69,9 (Spanish Version),63,italian adult pop,mexican pop,,,,,,,,0.682,0.843,-4.488,0.0292,0.116,1.43e-05,0.291,0.862,119.869,236587,4
52,2023-03-17 15:52,MEDUZA,Bad Memories,148629,3rb0tMq42WfggucPm0HHkA,MEDUZA,77,Bad Memories (feat. Elley Duhé & FAST BOY),86,pop dance,pop house,uk dance,,,,,,,0.607,0.767,-6.069,0.0474,0.118,0,0.122,0.662,123.998,148629,3
53,2023-03-17 15:50,Dance Fruits Music,"Calabria (feat. Fallen Roses, Lujavo & Lunis) - Shift K3Y Edit",156190,6MKuYvesr8p8csU9jt5Roa,Dance Fruits Music,73,Dance Fruits Music,64,lo-fi product,,,,,,,,,0.727,0.904,-3.408,0.064,0.0153,0.55,0.0963,0.372,124.02,128500,4
54,2023-03-17 15:50,MELON,Blue (Da Ba Dee),29198,5WyD2lZhEeTNg91oEF0TYK,MELON,71,Blue (Da Ba Dee),63,lo-fi cover,slap house,,,,,,,,0.772,0.871,-4.267,0.0389,0.0938,0.248,0.097,0.323,124.975,132480,4
55,2023-03-17 15:50,Öwnboss,Move Your Body,990,6GomT970rCOkKAyyrwJeZi,Öwnboss,66,Move Your Body,81,brazilian edm,,,,,,,,,0.848,0.821,-5.408,0.0527,0.0169,0.000403,0.0962,0.249,125.051,157445,4
56,2023-03-17 15:46,Dance Fruits Music,SUMMER JAM,1850,6FhhABinxDtRNKsicIv1EF,Dance Fruits Music,73,SUMMER JAM,54,lo-fi product,,,,,,,,,0.665,0.896,-6.446,0.0439,0.0989,4.8e-06,0.423,0.202,125.02,142080,4
57,2023-03-17 15:46,Dance Fruits Music,The Rhythm Of The Night,61910,46tcH6oyF61incTXuv4eHm,Dance Fruits Music,73,Dance Fruits Music,48,lo-fi product,,,,,,,,,0.751,0.967,-3.145,0.0791,0.00407,0.675,0.0859,0.391,126.969,148062,4
58,2023-03-17 15:46,Alesso,When I’m Gone (with Katy Perry),1360,5902W4uHWzhtOff1UK7the,Alesso,75,When I’m Gone (with Katy Perry),78,dance pop,edm,pop,pop dance,progressive electro house,tropical house,,,,0.685,0.886,-4.179,0.034,0.028,0,0.481,0.615,125.034,161267,4
59,2023-03-17 15:46,Dance Fruits Music,Hello,1340,2uV2Jnqoa5oRnoGfNt19SP,Dance Fruits Music,73,Black Beatles,53,lo-fi product,,,,,,,,,0.779,0.794,-7.247,0.0586,0.081,1.75e-05,0.0681,0.494,125.022,140225,4
60,2023-03-17 15:46,Tiësto,Don't Be Shy,2830,0bI7K9Becu2dtXK1Q3cZNB,Tiësto,84,Don't Be Shy,80,big room,brostep,dutch edm,edm,house,pop dance,slap house,trance,,0.77,0.787,-3.748,0.0583,0.198,0,0.262,0.513,119.986,140500,4
61,2023-03-17 15:46,Dance Fruits Music,Better Off Alone,1130,4yKN43pgKLGsoGZWpHpW5A,Dance Fruits Music,73,Better Off Alone,60,lo-fi product,,,,,,,,,0.596,0.954,-3.751,0.0402,0.00142,0.243,0.239,0.266,131.964,155559,4
62,2023-03-17 15:46,Dance Fruits Music,STAY,2250,4jtxk24eyUY3F9y3ucjxe0,Maurice Williams & The Zodiacs,48,Maurice Williams and The Zodiacs,64,,,,,,,,,,0.419,0.681,-11.137,0.04,0.777,0,0.255,0.788,118.904,99213,4
63,2023-03-17 15:45,Dance Fruits Music,Drunken Sailor (Sea Shanty),147540,7nkkmnKIm0ENXaAAw0Bq6J,Dance Fruits Music,73,Drunken Sailor (Sea Shanty),55,lo-fi product,,,,,,,,,0.723,0.8,-4.863,0.033,0.0222,0,0.139,0.831,121.92,147541,4
64,2023-03-17 15:45,Dance Fruits Music,The Rhythm Of The Night,1160,46tcH6oyF61incTXuv4eHm,Dance Fruits Music,73,Dance Fruits Music,48,lo-fi product,,,,,,,,,0.751,0.967,-3.145,0.0791,0.00407,0.675,0.0859,0.391,126.969,148062,4
65,2023-03-17 15:45,Dance Fruits Music,STAY,2190,4jtxk24eyUY3F9y3ucjxe0,Maurice Williams & The Zodiacs,48,Maurice Williams and The Zodiacs,64,,,,,,,,,,0.419,0.681,-11.137,0.04,0.777,0,0.255,0.788,118.904,99213,4
66,2023-03-17 15:45,Shouse,Love Tonight (David Guetta Remix Edit),7987,6OufwUcCqo81guU2jAlDVP,Shouse,69,Love Tonight,76,aussietronica,,,,,,,,,0.727,0.681,-7.114,0.0265,0.00214,0.000307,0.0861,0.448,123.028,241970,4
67,2023-03-17 15:45,ATB,Your Love (9PM),1280,5YaskwnGDZFDRipaqzbwQx,ATB,64,Your Love (9PM),79,german dance,german techno,german trance,trance,,,,,,0.669,0.784,-5.603,0.112,0.194,6.28e-06,0.115,0.517,125.993,150053,4
68,2023-03-17 15:42,Gabry Ponte,Thunder,160000,2USlegnFJLrVLpoVfPimKB,Gabry Ponte,73,Thunder,81,eurodance,italo dance,slap house,,,,,,,0.67,0.896,-4.673,0.058,0.0342,3.21e-05,0.344,0.403,101.216,160000,3
69,2023-03-17 15:40,Tiësto,Don't Be Shy,39910,0bI7K9Becu2dtXK1Q3cZNB,Tiësto,84,Don't Be Shy,80,big room,brostep,dutch edm,edm,house,pop dance,slap house,trance,,0.77,0.787,-3.748,0.0583,0.198,0,0.262,0.513,119.986,140500,4
70,2023-03-17 14:05,Dance Fruits Music,SUMMER JAM,1090,6FhhABinxDtRNKsicIv1EF,Dance Fruits Music,73,SUMMER JAM,54,lo-fi product,,,,,,,,,0.665,0.896,-6.446,0.0439,0.0989,4.8e-06,0.423,0.202,125.02,142080,4
71,2023-03-17 14:05,Shouse,Love Tonight (David Guetta Remix Edit),158095,6OufwUcCqo81guU2jAlDVP,Shouse,69,Love Tonight,76,aussietronica,,,,,,,,,0.727,0.681,-7.114,0.0265,0.00214,0.000307,0.0861,0.448,123.028,241970,4
72,2023-03-17 14:05,Dance Fruits Music,The Rhythm Of The Night,1510,46tcH6oyF61incTXuv4eHm,Dance Fruits Music,73,Dance Fruits Music,48,lo-fi product,,,,,,,,,0.751,0.967,-3.145,0.0791,0.00407,0.675,0.0859,0.391,126.969,148062,4
73,2023-03-17 14:05,ATB,Your Love (9PM),29841,5YaskwnGDZFDRipaqzbwQx,ATB,64,Your Love (9PM),79,german dance,german techno,german trance,trance,,,,,,0.669,0.784,-5.603,0.112,0.194,6.28e-06,0.115,0.517,125.993,150053,4
74,2023-03-17 14:05,Dance Fruits Music,STAY,4410,4jtxk24eyUY3F9y3ucjxe0,Maurice Williams & The Zodiacs,48,Maurice Williams and The Zodiacs,64,,,,,,,,,,0.419,0.681,-11.137,0.04,0.777,0,0.255,0.788,118.904,99213,4
75,2023-03-17 14:02,Dance Fruits Music,Drunken Sailor (Sea Shanty),147540,7nkkmnKIm0ENXaAAw0Bq6J,Dance Fruits Music,73,Drunken Sailor (Sea Shanty),55,lo-fi product,,,,,,,,,0.723,0.8,-4.863,0.033,0.0222,0,0.139,0.831,121.92,147541,4
76,2023-03-17 14:00,Gabry Ponte,Thunder,160000,2USlegnFJLrVLpoVfPimKB,Gabry Ponte,73,Thunder,81,eurodance,italo dance,slap house,,,,,,,0.67,0.896,-4.673,0.058,0.0342,3.21e-05,0.344,0.403,101.216,160000,3
77,2023-03-17 13:57,Gabry Ponte,Thunder,160000,2USlegnFJLrVLpoVfPimKB,Gabry Ponte,73,Thunder,81,eurodance,italo dance,slap house,,,,,,,0.67,0.896,-4.673,0.058,0.0342,3.21e-05,0.344,0.403,101.216,160000,3
78,2023-03-17 13:57,Dance Fruits Music,Drunken Sailor (Sea Shanty),16638,7nkkmnKIm0ENXaAAw0Bq6J,Dance Fruits Music,73,Drunken Sailor (Sea Shanty),55,lo-fi product,,,,,,,,,0.723,0.8,-4.863,0.033,0.0222,0,0.139,0.831,121.92,147541,4
79,2023-03-17 13:54,Dance Fruits Music,Cola,120983,0OXn0cXGNw2N3dHSeQeHzA,Dance Fruits Music,73,Cola,54,lo-fi product,,,,,,,,,0.713,0.729,-7.725,0.0517,0.149,0.012,0.084,0.423,122.072,120984,4
80,2023-03-17 13:54,Dance Fruits Music,One More Time,9310,0DiWol3AO6WpXZgp0goxAV,Daft Punk,82,Discovery,79,electro,filter house,rock,,,,,,,0.613,0.697,-8.618,0.133,0.0194,0,0.332,0.476,122.746,320357,4
81,2023-03-17 13:54,Dance Fruits Music,Freed From Desire,1590,3u5N55tHf7hXATSQrjBh2q,Gala,62,Come Into My Life (The Album),80,eurodance,hip house,italo dance,,,,,,,0.704,0.861,-4.221,0.0493,0.587,0.0615,0.0992,0.636,128.99,213394,4
82,2023-03-17 13:54,Riton,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,1150,4cG7HUWYHBV6R6tHn1gxrl,Riton,67,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],81,house,pop dance,uk dance,,,,,,,0.824,0.862,-3.424,0.126,0.0076,0.000132,0.303,0.801,122.98,169153,4
83,2023-03-17 13:52,Dance Fruits Music,Rise Up,111072,0tV8pOpiNsKqUys0ilUcXz,Andra Day,56,Cheers to the Fall,74,r&b,,,,,,,,,0.398,0.316,-7.031,0.0368,0.805,0,0.295,0.174,118.582,253342,4
84,2023-03-17 13:50,Dance Fruits Music,Cha Cha Slide,127059,1vvBUZseJ7fwYPX1NedOLd,Freddie Dredd,75,Cha Cha,70,aesthetic rap,meme rap,phonk,,,,,,,0.792,0.698,-6.364,0.172,0.489,0.0788,0.127,0.751,129.971,173938,4
85,2023-03-17 13:48,Dance Fruits Music,Cups,136567,6PdFFQZ2BNMCpZ48oLPHW5,Dance Fruits Music,73,Cups,53,lo-fi product,,,,,,,,,0.7,0.739,-6.814,0.0399,0.0372,0.000299,0.124,0.475,123.002,136568,4
86,2023-03-17 13:46,Dance Fruits Music,Put Your Hands Up 4 Detroit (feat. Tny),111992,3fbGgsysR0OKzsdr20HD4T,Fedde Le Grand,59,Put Your Hands Up For Detroit,39,dutch house,edm,electro house,house,pop dance,progressive electro house,progressive house,,,0.908,0.931,-5.93,0.174,0.00151,0.798,0.0626,0.265,128.016,393333,4
87,2023-03-17 13:44,Shouse,Love Tonight (David Guetta Remix Edit),102940,6OufwUcCqo81guU2jAlDVP,Shouse,69,Love Tonight,76,aussietronica,,,,,,,,,0.727,0.681,-7.114,0.0265,0.00214,0.000307,0.0861,0.448,123.028,241970,4
88,2023-03-16 21:49,Dance Fruits Music,Drunken Sailor (Sea Shanty),147540,7nkkmnKIm0ENXaAAw0Bq6J,Dance Fruits Music,73,Drunken Sailor (Sea Shanty),55,lo-fi product,,,,,,,,,0.723,0.8,-4.863,0.033,0.0222,0,0.139,0.831,121.92,147541,4
89,2023-03-16 21:47,Gabry Ponte,Thunder,160000,2USlegnFJLrVLpoVfPimKB,Gabry Ponte,73,Thunder,81,eurodance,italo dance,slap house,,,,,,,0.67,0.896,-4.673,0.058,0.0342,3.21e-05,0.344,0.403,101.216,160000,3
90,2023-03-16 21:44,MELON,Blue (Da Ba Dee),278,5WyD2lZhEeTNg91oEF0TYK,MELON,71,Blue (Da Ba Dee),63,lo-fi cover,slap house,,,,,,,,0.772,0.871,-4.267,0.0389,0.0938,0.248,0.097,0.323,124.975,132480,4
91,2023-03-16 21:44,ATB,Your Love (9PM),348,5YaskwnGDZFDRipaqzbwQx,ATB,64,Your Love (9PM),79,german dance,german techno,german trance,trance,,,,,,0.669,0.784,-5.603,0.112,0.194,6.28e-06,0.115,0.517,125.993,150053,4
92,2023-03-16 21:44,Eros Ramazzotti,Una Emocion para Siempre,13049,32TxjkRcmXd3BNqBPIFMPN,Eros Ramazzotti,69,9 (Spanish Version),63,italian adult pop,mexican pop,,,,,,,,0.682,0.843,-4.488,0.0292,0.116,1.43e-05,0.291,0.862,119.869,236587,4
93,2023-03-16 21:44,Tiësto,Don't Be Shy,348,0bI7K9Becu2dtXK1Q3cZNB,Tiësto,84,Don't Be Shy,80,big room,brostep,dutch edm,edm,house,pop dance,slap house,trance,,0.77,0.787,-3.748,0.0583,0.198,0,0.262,0.513,119.986,140500,4
94,2023-03-16 21:44,Dance Fruits Music,Better Off Alone,348,4yKN43pgKLGsoGZWpHpW5A,Dance Fruits Music,73,Better Off Alone,60,lo-fi product,,,,,,,,,0.596,0.954,-3.751,0.0402,0.00142,0.243,0.239,0.266,131.964,155559,4
95,2023-03-16 21:44,Öwnboss,Move Your Body,371,6GomT970rCOkKAyyrwJeZi,Öwnboss,66,Move Your Body,81,brazilian edm,,,,,,,,,0.848,0.821,-5.408,0.0527,0.0169,0.000403,0.0962,0.249,125.051,157445,4
